

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x5x5.0+mix
[0, 0.0493919737637043]
[1, 0.09730435162782669]
[2, 0.06941451132297516]
[3, 0.04972204566001892]
[4, 0.08076150715351105]
[5, 0.06485855579376221]
[6, 0.048737816512584686]
[7, 0.051841989159584045]
[8, 0.0659647285938263]
[9, 0.06836134940385818]
[10, 0.06384710967540741]
