

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x5x5.0+mix
[0, [639.0, 643.0, 675.0, 748.0, 690.0, 643.0, 714.0, 766.0, 665.0, 736.0, 804.0, 812.0, 623.0, 678.0, 769.0, 756.0, 631.0, 655.0, 842.0, 706.0]]
[1, [595.0, 671.0, 708.0, 823.0, 753.0, 615.0, 719.0, 786.0, 696.0, 729.0, 794.0, 785.0, 646.0, 701.0, 784.0, 709.0, 640.0, 623.0, 906.0, 726.0]]
[2, [589.0, 654.0, 756.0, 745.0, 694.0, 646.0, 712.0, 834.0, 617.0, 809.0, 812.0, 767.0, 634.0, 716.0, 782.0, 760.0, 619.0, 632.0, 848.0, 705.0]]
[3, [629.0, 641.0, 720.0, 757.0, 681.0, 660.0, 753.0, 769.0, 629.0, 736.0, 795.0, 852.0, 607.0, 730.0, 750.0, 729.0, 660.0, 637.0, 823.0, 699.0]]
[4, [578.0, 614.0, 696.0, 762.0, 723.0, 627.0, 728.0, 793.0, 642.0, 738.0, 826.0, 831.0, 662.0, 687.0, 744.0, 712.0, 602.0, 710.0, 864.0, 762.0]]
[5, [615.0, 653.0, 663.0, 769.0, 724.0, 677.0, 728.0, 782.0, 674.0, 781.0, 785.0, 787.0, 664.0, 731.0, 780.0, 733.0, 615.0, 633.0, 836.0, 684.0]]
[6, [631.0, 664.0, 719.0, 753.0, 693.0, 651.0, 735.0, 801.0, 630.0, 745.0, 804.0, 808.0, 660.0, 669.0, 743.0, 760.0, 612.0, 623.0, 802.0, 762.0]]
[7, [631.0, 696.0, 712.0, 751.0, 701.0, 638.0, 736.0, 796.0, 663.0, 753.0, 849.0, 821.0, 620.0, 692.0, 761.0, 758.0, 640.0, 674.0, 797.0, 709.0]]
[8, [604.0, 718.0, 654.0, 769.0, 711.0, 644.0, 761.0, 744.0, 651.0, 768.0, 796.0, 780.0, 671.0, 688.0, 766.0, 708.0, 627.0, 688.0, 802.0, 712.0]]
[9, [613.0, 625.0, 679.0, 785.0, 694.0, 642.0, 682.0, 784.0, 696.0, 751.0, 800.0, 808.0, 638.0, 707.0, 769.0, 749.0, 668.0, 623.0, 801.0, 747.0]]
[10, [618.0, 702.0, 724.0, 777.0, 721.0, 619.0, 741.0, 800.0, 702.0, 756.0, 808.0, 796.0, 670.0, 735.0, 770.0, 741.0, 644.0, 677.0, 817.0, 697.0]]
