Wall time,Step,Value
1724060056.3532937,0,8.006690979003906
1724060057.3314824,1,8.009326934814453
1724060058.3347685,2,8.035629272460938
1724060059.34016,3,8.008654594421387
1724060060.335213,4,8.003572463989258
1724060061.24001,5,7.936119556427002
1724060062.208272,6,8.038732528686523
1724060063.1482775,7,7.881690502166748
1724060064.0749185,8,7.827301979064941
1724060065.0585842,9,7.785947799682617
1724060066.054652,10,7.790200710296631
1724060067.0590148,11,7.799707889556885
1724060068.012853,12,7.9276933670043945
1724060068.9743118,13,7.8333916664123535
1724060069.973498,14,7.882754802703857
1724060070.9712563,15,7.927669048309326
1724060071.9529092,16,7.878381252288818
1724060072.9371505,17,7.782275199890137
1724060073.934787,18,7.768923759460449
1724060074.9199138,19,7.7515716552734375
1724060075.8949957,20,7.6934027671813965
1724060076.846246,21,7.731049060821533
1724060077.8193588,22,7.760546684265137
1724060078.7490437,23,7.762756824493408
1724060079.7250311,24,7.772319316864014
1724060080.7104678,25,7.792893409729004
1724060081.6915,26,7.771114826202393
1724060082.6702013,27,7.717596054077148
1724060083.651106,28,7.663280487060547
1724060084.6563842,29,8.046066284179688
1724060085.661915,30,7.74430513381958
1724060086.6616826,31,7.725695610046387
1724060087.6648238,32,7.766211986541748
1724060088.6418555,33,7.896697044372559
1724060089.6299624,34,7.683178424835205
1724060090.6107907,35,7.704016208648682
1724060091.5835786,36,7.6347336769104
1724060092.5763752,37,7.830368518829346
1724060093.5836515,38,7.826737880706787
1724060094.5788946,39,7.772676467895508
1724060095.5687141,40,7.796955108642578
1724060096.5693061,41,7.737565517425537
1724060097.569443,42,7.812273979187012
1724060098.5646336,43,7.645720481872559
1724060099.5567195,44,7.712824821472168
1724060100.541823,45,7.679745197296143
1724060101.5374424,46,7.601070880889893
1724060102.5500119,47,7.622056484222412
1724060103.5501256,48,7.670001983642578
1724060104.5294619,49,7.681357383728027
1724060105.5176468,50,7.702394962310791
1724060106.4974012,51,7.608541011810303
1724060107.4555364,52,7.612781524658203
1724060108.4530306,53,7.71085262298584
1724060109.4546895,54,7.415093421936035
1724060110.4601285,55,7.606503009796143
1724060111.4480817,56,7.663115978240967
1724060112.3771439,57,7.559933662414551
1724060113.347807,58,7.5000200271606445
1724060114.3291256,59,7.575659275054932
1724060115.3210185,60,7.571257591247559
1724060116.303805,61,7.5051164627075195
1724060117.2868721,62,7.4925079345703125
1724060118.2653978,63,7.553645133972168
1724060119.2695286,64,7.50440788269043
1724060120.2677562,65,7.58096170425415
1724060121.2498124,66,7.559878826141357
1724060122.2143729,67,7.508632183074951
1724060123.1982665,68,7.473517894744873
1724060124.1748226,69,7.427787780761719
1724060125.1619122,70,7.556405067443848
1724060126.1499903,71,7.567122459411621
1724060127.1264083,72,7.489110469818115
1724060128.0496593,73,7.3857526779174805
1724060129.0248568,74,7.537521839141846
1724060130.023482,75,7.441318988800049
1724060131.0148335,76,7.536793231964111
1724060132.0025716,77,7.547845363616943
1724060132.9573872,78,7.539544582366943
1724060133.9338942,79,7.398636817932129
1724060134.8650627,80,7.420645713806152
1724060135.8421023,81,7.643782615661621
1724060136.8249903,82,7.3889055252075195
1724060137.7632852,83,7.492343425750732
1724060138.7520857,84,7.548798084259033
1724060139.729273,85,7.599269866943359
1724060140.717063,86,7.5824151039123535
1724060141.70118,87,7.622732639312744
1724060142.6747022,88,7.582439422607422
1724060143.6531,89,7.5242533683776855
1724060144.6437464,90,7.5084028244018555
1724060145.6616142,91,7.622951507568359
1724060146.665141,92,7.622390270233154
1724060147.6640823,93,7.571634769439697
1724060148.6370854,94,7.63090705871582
1724060149.6130555,95,7.567161560058594
1724060150.5965009,96,7.596864223480225
1724060151.5647855,97,7.53885555267334
1724060152.5037036,98,7.568880558013916
1724060153.4986398,99,7.536580562591553
1724060154.4957685,100,7.360365867614746
1724060155.4864454,101,7.61589241027832
1724060156.4835558,102,7.527099132537842
1724060157.4965594,103,7.565307140350342
1724060158.510522,104,7.622735500335693
1724060159.5127094,105,7.615917205810547
1724060160.5130773,106,7.630188941955566
1724060161.4988647,107,7.54556941986084
1724060162.5706255,108,7.587795734405518
1724060163.554893,109,7.597878932952881
1724060164.5353093,110,7.449334621429443
1724060165.5187492,111,7.5493974685668945
1724060166.5024583,112,7.48798131942749
1724060167.5041223,113,7.436246395111084
1724060168.5249963,114,7.597249984741211
1724060169.529664,115,7.640010356903076
1724060170.5406973,116,7.460931777954102
1724060171.5426006,117,7.588699817657471
1724060172.5373404,118,7.647385597229004
1724060173.536128,119,7.665439128875732
1724060174.5411859,120,7.570117473602295
1724060175.5513277,121,7.53922176361084
1724060176.553717,122,7.527148246765137
1724060177.5674837,123,7.548468589782715
1724060178.5666347,124,7.480628967285156
1724060179.5726085,125,7.464705944061279
1724060180.5761664,126,7.543323516845703
1724060181.5833628,127,7.646251201629639
1724060182.5978186,128,7.524271488189697
1724060183.5992632,129,7.572478294372559
1724060184.6025534,130,7.5508270263671875
1724060185.605736,131,7.4981489181518555
1724060186.602706,132,7.430673122406006
1724060187.6177084,133,7.586430072784424
1724060188.6123931,134,7.4740824699401855
1724060189.6104362,135,7.494779586791992
1724060190.6092634,136,7.468478679656982
1724060191.606554,137,7.434097766876221
