

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x15x5.0+mix
[0, 0.25111842155456543]
[1, 0.20314888656139374]
[2, 0.1328151822090149]
[3, 0.1047186478972435]
[4, 0.09165814518928528]
[5, 0.07831825315952301]
[6, 0.07672538608312607]
[7, 0.05792178586125374]
[8, 0.05404450371861458]
[9, 0.04691309109330177]
[10, 0.0441896989941597]
