

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x13x5.0+mix
[0, [412.0, 351.0, 407.0, 375.0, 325.0, 329.0, 281.0, 392.0, 358.0, 332.0, 352.0, 272.0, 354.0, 303.0, 298.0, 385.0, 300.0, 301.0, 315.0, 372.0]]
[1, [373.0, 333.0, 386.0, 297.0, 306.0, 369.0, 342.0, 375.0, 332.0, 328.0, 328.0, 313.0, 308.0, 355.0, 319.0, 383.0, 309.0, 352.0, 328.0, 358.0]]
[2, [421.0, 382.0, 338.0, 363.0, 296.0, 381.0, 355.0, 379.0, 331.0, 328.0, 281.0, 297.0, 276.0, 395.0, 304.0, 352.0, 305.0, 343.0, 299.0, 342.0]]
[3, [355.0, 349.0, 393.0, 342.0, 359.0, 328.0, 295.0, 344.0, 379.0, 327.0, 368.0, 331.0, 332.0, 337.0, 297.0, 359.0, 318.0, 331.0, 368.0, 292.0]]
[4, [341.0, 352.0, 342.0, 375.0, 340.0, 412.0, 323.0, 378.0, 309.0, 337.0, 297.0, 344.0, 314.0, 361.0, 299.0, 292.0, 306.0, 353.0, 292.0, 343.0]]
[5, [376.0, 329.0, 384.0, 330.0, 360.0, 375.0, 320.0, 319.0, 335.0, 332.0, 370.0, 324.0, 291.0, 319.0, 330.0, 331.0, 302.0, 338.0, 323.0, 326.0]]
[6, [419.0, 311.0, 399.0, 314.0, 340.0, 349.0, 322.0, 345.0, 323.0, 369.0, 360.0, 288.0, 338.0, 356.0, 337.0, 304.0, 339.0, 344.0, 337.0, 328.0]]
[7, [380.0, 279.0, 382.0, 311.0, 316.0, 352.0, 284.0, 346.0, 302.0, 312.0, 312.0, 330.0, 293.0, 366.0, 330.0, 371.0, 330.0, 371.0, 292.0, 352.0]]
[8, [392.0, 332.0, 384.0, 382.0, 335.0, 353.0, 343.0, 337.0, 332.0, 303.0, 342.0, 322.0, 318.0, 367.0, 348.0, 363.0, 301.0, 378.0, 294.0, 298.0]]
[9, [414.0, 340.0, 336.0, 323.0, 331.0, 336.0, 330.0, 343.0, 325.0, 309.0, 321.0, 298.0, 335.0, 325.0, 316.0, 305.0, 306.0, 313.0, 358.0, 318.0]]
[10, [340.0, 391.0, 311.0, 309.0, 328.0, 365.0, 324.0, 370.0, 301.0, 316.0, 319.0, 317.0, 335.0, 318.0, 323.0, 327.0, 305.0, 340.0, 315.0, 358.0]]
