

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x13x5.0+mix
[0, 0.2659774720668793]
[1, 0.18840953707695007]
[2, 0.1321866512298584]
[3, 0.11442243307828903]
[4, 0.08717712014913559]
[5, 0.07925351709127426]
[6, 0.062038179486989975]
[7, 0.06603684276342392]
[8, 0.060413435101509094]
[9, 0.03861329331994057]
[10, 0.03971203789114952]
