

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x7x5.0+mix
[0, 0.12725834548473358]
[1, 0.10271652787923813]
[2, 0.06330910325050354]
[3, 0.056496672332286835]
[4, 0.0714566707611084]
[5, 0.06578216701745987]
[6, 0.05052093043923378]
[7, 0.0436692014336586]
[8, 0.06454093754291534]
[9, 0.04472119361162186]
[10, 0.05411344766616821]
