

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x20x5.0+mix
[0, [319.0, 247.0, 248.0, 204.0, 245.0, 326.0, 296.0, 211.0, 222.0, 250.0, 267.0, 237.0, 257.0, 228.0, 339.0, 238.0, 312.0, 209.0, 245.0, 256.0]]
[1, [334.0, 236.0, 280.0, 208.0, 272.0, 281.0, 315.0, 235.0, 263.0, 243.0, 282.0, 268.0, 311.0, 250.0, 314.0, 231.0, 255.0, 237.0, 240.0, 280.0]]
[2, [222.0, 264.0, 272.0, 220.0, 272.0, 317.0, 276.0, 215.0, 305.0, 253.0, 234.0, 277.0, 251.0, 242.0, 312.0, 234.0, 249.0, 199.0, 249.0, 307.0]]
[3, [327.0, 309.0, 299.0, 202.0, 317.0, 284.0, 316.0, 225.0, 261.0, 232.0, 251.0, 258.0, 263.0, 241.0, 310.0, 211.0, 278.0, 221.0, 290.0, 306.0]]
[4, [261.0, 318.0, 285.0, 205.0, 296.0, 245.0, 278.0, 275.0, 233.0, 251.0, 337.0, 253.0, 267.0, 249.0, 300.0, 226.0, 239.0, 234.0, 259.0, 309.0]]
[5, [254.0, 255.0, 267.0, 211.0, 283.0, 279.0, 310.0, 276.0, 233.0, 235.0, 299.0, 228.0, 340.0, 249.0, 349.0, 219.0, 289.0, 191.0, 254.0, 316.0]]
[6, [264.0, 301.0, 261.0, 237.0, 272.0, 245.0, 322.0, 239.0, 247.0, 300.0, 238.0, 268.0, 252.0, 238.0, 296.0, 249.0, 229.0, 226.0, 276.0, 274.0]]
[7, [319.0, 314.0, 246.0, 224.0, 276.0, 292.0, 308.0, 228.0, 234.0, 254.0, 246.0, 373.0, 224.0, 257.0, 357.0, 263.0, 224.0, 268.0, 245.0, 289.0]]
[8, [268.0, 282.0, 285.0, 190.0, 275.0, 297.0, 261.0, 228.0, 258.0, 286.0, 246.0, 315.0, 308.0, 218.0, 294.0, 233.0, 265.0, 186.0, 285.0, 256.0]]
[9, [344.0, 287.0, 271.0, 217.0, 233.0, 285.0, 238.0, 229.0, 232.0, 254.0, 258.0, 271.0, 299.0, 247.0, 314.0, 236.0, 262.0, 217.0, 216.0, 296.0]]
[10, [242.0, 323.0, 250.0, 222.0, 254.0, 239.0, 307.0, 307.0, 277.0, 263.0, 240.0, 266.0, 246.0, 223.0, 268.0, 204.0, 266.0, 206.0, 267.0, 242.0]]
