

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x20x5.0+mix
[0, 0.32155245542526245]
[1, 0.2658306360244751]
[2, 0.15917140245437622]
[3, 0.11038489639759064]
[4, 0.09183286875486374]
[5, 0.0827547237277031]
[6, 0.07673361897468567]
[7, 0.08996754884719849]
[8, 0.06666518747806549]
[9, 0.05240931361913681]
[10, 0.053785622119903564]
