

./trained_network/SD2/20x5+mix+SD2_exp18_3.pth -->>> 20x10x5.0+mix
[0, 0.22577425837516785]
[1, 0.17118793725967407]
[2, 0.13741786777973175]
[3, 0.11187747865915298]
[4, 0.09151624143123627]
[5, 0.07388456165790558]
[6, 0.0663435086607933]
[7, 0.061116352677345276]
[8, 0.04466720297932625]
[9, 0.040127892047166824]
[10, 0.056307196617126465]
